Date,Category,Amount,Month,Year,Payment Mode,Description,User ID
2024-01-01,Bills,4164.54,1,2024,Wallet,Electricity bill,5
2024-01-02,Medical,4051.9,1,2024,UPI,Doctor visit,4
2024-01-02,Food,240.95,1,2024,UPI,Home delivery,1
2024-01-02,Education,3887.49,1,2024,UPI,Stationery,3
2024-01-02,Entertainment,2347.12,1,2024,Credit Card,Gaming,2
2024-01-03,Travel,2952.56,1,2024,Credit Card,Bus ticket,2
2024-01-03,Food,2164.17,1,2024,Cash,Restaurant dinner,5
2024-01-03,Travel,2494.76,1,2024,Credit Card,Fuel,2
2024-01-05,Shopping,3298.86,1,2024,Credit Card,Electronics,1
2024-01-06,Other,1956.93,1,2024,UPI,Donation,2
2024-01-07,Education,5506.44,1,2024,Net Banking,Books,4
2024-01-08,Food,2366.04,1,2024,Debit Card,Restaurant dinner,1
2024-01-08,Medical,3345.54,1,2024,Credit Card,Lab test,1
2024-01-09,Entertainment,1349.69,1,2024,Debit Card,Concert,3
2024-01-10,Food,891.76,1,2024,Wallet,Grocery shopping,4
2024-01-10,Food,897.72,1,2024,Wallet,Restaurant dinner,5
2024-01-11,Medical,1036.18,1,2024,Debit Card,Doctor visit,5
2024-01-11,Bills,6859.86,1,2024,Debit Card,Gas bill,5
2024-01-12,Bills,1359.14,1,2024,Debit Card,Gas bill,5
2024-01-13,Education,6843.7,1,2024,Debit Card,Exam fee,3
2024-01-14,Bills,7301.6,1,2024,Debit Card,Gas bill,1
2024-01-14,Education,2190.25,1,2024,Net Banking,Online course,1
2024-01-15,Travel,397.06,1,2024,Debit Card,Fuel,4
2024-01-15,Education,7949.52,1,2024,Debit Card,Exam fee,2
2024-01-15,Travel,148.29,1,2024,Wallet,Cab ride,1
2024-01-16,Other,1856.42,1,2024,UPI,Donation,5
2024-01-20,Other,1574.74,1,2024,Credit Card,Repair,5
2024-01-20,Food,1831.56,1,2024,UPI,Restaurant dinner,4
2024-01-20,Entertainment,2211.13,1,2024,Wallet,Concert,5
2024-01-21,Entertainment,2320.22,1,2024,Credit Card,Gaming,5
2024-01-21,Shopping,7158.0,1,2024,UPI,Gift purchase,5
2024-01-21,Entertainment,2904.7,1,2024,Credit Card,Movie ticket,5
2024-01-21,Food,333.69,1,2024,UPI,Fast food,1
2024-01-22,Other,1360.95,1,2024,Credit Card,Repair,5
2024-01-23,Other,1333.55,1,2024,Cash,Repair,3
2024-01-25,Food,898.74,1,2024,Net Banking,Snacks,4
2024-01-26,Education,2599.94,1,2024,Debit Card,Course fee,1
2024-01-26,Bills,7573.77,1,2024,Wallet,Mobile recharge,4
2024-01-27,Bills,5433.73,1,2024,UPI,Rent,5
2024-01-27,Education,5090.63,1,2024,Wallet,Online course,1
2024-01-27,Shopping,8669.71,1,2024,Net Banking,Footwear,4
2024-01-28,Medical,3608.5,1,2024,UPI,Health checkup,5
2024-01-28,Other,1204.19,1,2024,Cash,Miscellaneous,5
2024-01-28,Shopping,6067.52,1,2024,UPI,Accessories,3
2024-01-30,Entertainment,2651.86,1,2024,Credit Card,Streaming subscription,3
2024-02-01,Other,1716.47,2,2024,Debit Card,Pet supplies,2
2024-02-01,Food,1247.53,2,2024,UPI,Fast food,1
2024-02-02,Entertainment,1315.8,2,2024,UPI,Movie ticket,1
2024-02-02,Food,979.2,2,2024,Credit Card,Home delivery,1
2024-02-03,Food,1782.04,2,2024,Net Banking,Snacks,3
2024-02-03,Bills,5592.97,2,2024,UPI,Mobile recharge,4
2024-02-03,Food,2133.55,2,2024,Wallet,Grocery shopping,5
2024-02-03,Food,829.63,2,2024,UPI,Home delivery,4
2024-02-04,Entertainment,315.56,2,2024,Debit Card,Movie ticket,5
2024-02-07,Food,2415.12,2,2024,Net Banking,Coffee shop,4
2024-02-08,Food,1037.29,2,2024,Debit Card,Home delivery,4
2024-02-09,Food,1114.68,2,2024,Debit Card,Snacks,3
2024-02-09,Shopping,13208.57,2,2024,UPI,Gift purchase,4
2024-02-09,Entertainment,1641.15,2,2024,Cash,Movie ticket,5
2024-02-10,Bills,3644.19,2,2024,Credit Card,Gas bill,5
2024-02-10,Food,1122.51,2,2024,Credit Card,Fast food,2
2024-02-10,Entertainment,645.67,2,2024,Debit Card,Sports event,5
2024-02-10,Entertainment,1144.62,2,2024,UPI,Concert,2
2024-02-12,Entertainment,182.28,2,2024,Wallet,Movie ticket,5
2024-02-12,Education,4525.39,2,2024,Wallet,Course fee,3
2024-02-13,Shopping,14826.54,2,2024,UPI,Footwear,2
2024-02-14,Other,1799.71,2,2024,UPI,Pet supplies,1
2024-02-14,Bills,3717.17,2,2024,Debit Card,Water bill,3
2024-02-15,Medical,3260.65,2,2024,Wallet,Medicines,5
2024-02-16,Food,1798.3,2,2024,Credit Card,Fast food,1
2024-02-16,Education,911.38,2,2024,UPI,Exam fee,5
2024-02-17,Food,1970.53,2,2024,Cash,Fast food,1
2024-02-17,Other,184.41,2,2024,Net Banking,Personal care,5
2024-02-17,Other,1683.06,2,2024,UPI,Pet supplies,4
2024-02-18,Entertainment,543.24,2,2024,Debit Card,Streaming subscription,1
2024-02-18,Other,805.73,2,2024,Wallet,Repair,3
2024-02-18,Shopping,10420.04,2,2024,UPI,Clothing,5
2024-02-21,Travel,1170.93,2,2024,UPI,Auto rickshaw,1
2024-02-21,Food,1456.02,2,2024,UPI,Snacks,4
2024-02-21,Medical,2797.43,2,2024,UPI,Medicines,3
2024-02-22,Entertainment,1913.56,2,2024,Credit Card,Concert,3
2024-02-23,Entertainment,1977.19,2,2024,UPI,Movie ticket,3
2024-02-23,Food,859.22,2,2024,UPI,Fast food,2
2024-02-24,Entertainment,2860.34,2,2024,UPI,Gaming,5
2024-02-25,Entertainment,2401.96,2,2024,Credit Card,Streaming subscription,3
2024-02-25,Food,2339.21,2,2024,Net Banking,Home delivery,5
2024-02-25,Entertainment,2548.52,2,2024,Credit Card,Concert,3
2024-02-27,Medical,878.96,2,2024,Debit Card,Lab test,3
2024-02-28,Other,1649.45,2,2024,UPI,Personal care,5
2024-02-29,Medical,3396.56,2,2024,Debit Card,Lab test,5
2024-02-29,Medical,4842.15,2,2024,Credit Card,Health checkup,4
2024-03-02,Bills,4711.9,3,2024,Debit Card,Mobile recharge,5
2024-03-03,Shopping,5221.68,3,2024,UPI,Clothing,1
2024-03-03,Education,760.22,3,2024,Credit Card,Exam fee,5
2024-03-03,Shopping,3009.17,3,2024,Wallet,Clothing,3
2024-03-04,Food,1756.35,3,2024,Cash,Grocery shopping,3
2024-03-05,Bills,3982.01,3,2024,UPI,Rent,2
2024-03-06,Shopping,9019.15,3,2024,Credit Card,Footwear,4
2024-03-08,Travel,1329.33,3,2024,Cash,Bus ticket,4
2024-03-10,Other,1726.29,3,2024,Credit Card,Miscellaneous,2
2024-03-11,Other,1088.78,3,2024,UPI,Donation,4
2024-03-11,Entertainment,1171.63,3,2024,UPI,Streaming subscription,3
2024-03-13,Shopping,3079.25,3,2024,Net Banking,Clothing,5
2024-03-14,Food,1991.94,3,2024,Debit Card,Home delivery,2
2024-03-15,Shopping,13314.83,3,2024,UPI,Online order,4
2024-03-16,Travel,1372.18,3,2024,UPI,Cab ride,5
2024-03-16,Shopping,10265.61,3,2024,UPI,Accessories,3
2024-03-17,Food,1050.87,3,2024,Credit Card,Snacks,2
2024-03-17,Shopping,14544.21,3,2024,Debit Card,Accessories,2
2024-03-17,Bills,967.12,3,2024,Wallet,Rent,4
2024-03-17,Medical,4500.81,3,2024,UPI,Pharmacy,2
2024-03-18,Other,1397.49,3,2024,Credit Card,Donation,1
2024-03-18,Bills,6729.29,3,2024,UPI,Internet bill,2
2024-03-18,Medical,974.58,3,2024,UPI,Lab test,3
2024-03-19,Bills,7830.26,3,2024,Debit Card,Electricity bill,3
2024-03-21,Medical,1095.67,3,2024,Credit Card,Doctor visit,3
2024-03-21,Shopping,12058.67,3,2024,Cash,Footwear,2
2024-03-22,Entertainment,2612.8,3,2024,UPI,Gaming,3
2024-03-23,Entertainment,2571.79,3,2024,UPI,Sports event,4
2024-03-23,Shopping,9539.29,3,2024,UPI,Electronics,2
2024-03-25,Bills,4532.42,3,2024,UPI,Internet bill,4
2024-03-27,Travel,2001.65,3,2024,UPI,Auto rickshaw,2
2024-03-27,Bills,2848.89,3,2024,UPI,Internet bill,3
2024-03-27,Bills,7141.03,3,2024,UPI,Mobile recharge,2
2024-03-28,Food,658.17,3,2024,UPI,Snacks,3
2024-03-28,Travel,2252.44,3,2024,UPI,Parking fee,5
2024-03-29,Travel,1368.88,3,2024,Credit Card,Train ticket,2
2024-03-29,Travel,2782.27,3,2024,UPI,Train ticket,3
2024-03-29,Other,1570.36,3,2024,Debit Card,Repair,2
2024-03-30,Bills,738.37,3,2024,UPI,Electricity bill,5
2024-03-30,Entertainment,2905.93,3,2024,Debit Card,Concert,4
2024-04-01,Bills,2241.65,4,2024,Debit Card,Rent,1
2024-04-02,Food,1730.83,4,2024,Debit Card,Snacks,1
2024-04-02,Entertainment,317.64,4,2024,Wallet,Movie ticket,2
2024-04-03,Bills,5312.78,4,2024,Wallet,Gas bill,4
2024-04-03,Education,2308.3,4,2024,Credit Card,Online course,1
2024-04-03,Bills,3406.45,4,2024,Net Banking,Mobile recharge,3
2024-04-04,Medical,4164.09,4,2024,UPI,Pharmacy,3
2024-04-04,Travel,2653.69,4,2024,UPI,Parking fee,4
2024-04-05,Travel,1231.07,4,2024,UPI,Bus ticket,1
2024-04-05,Shopping,11219.92,4,2024,Net Banking,Accessories,1
2024-04-06,Shopping,12097.67,4,2024,UPI,Electronics,2
2024-04-07,Entertainment,2765.54,4,2024,UPI,Streaming subscription,5
2024-04-07,Food,1887.73,4,2024,Wallet,Fast food,5
2024-04-07,Entertainment,2681.85,4,2024,Net Banking,Movie ticket,1
2024-04-09,Shopping,5290.54,4,2024,Net Banking,Accessories,4
2024-04-09,Other,1310.36,4,2024,Debit Card,Repair,2
2024-04-09,Food,1366.99,4,2024,Credit Card,Fast food,1
2024-04-10,Other,494.52,4,2024,Wallet,Repair,4
2024-04-12,Food,572.23,4,2024,UPI,Coffee shop,5
2024-04-12,Medical,2338.95,4,2024,UPI,Doctor visit,4
2024-04-12,Other,1147.23,4,2024,Debit Card,Miscellaneous,5
2024-04-12,Travel,237.33,4,2024,UPI,Bus ticket,2
2024-04-13,Bills,3848.31,4,2024,Debit Card,Rent,1
2024-04-13,Travel,1849.95,4,2024,UPI,Fuel,4
2024-04-14,Food,509.11,4,2024,Credit Card,Fast food,3
2024-04-15,Entertainment,2528.39,4,2024,Credit Card,Movie ticket,4
2024-04-15,Travel,2646.54,4,2024,UPI,Bus ticket,1
2024-04-15,Education,5309.45,4,2024,Net Banking,Stationery,3
2024-04-15,Food,2345.14,4,2024,Credit Card,Fast food,4
2024-04-16,Other,324.25,4,2024,UPI,Miscellaneous,5
2024-04-16,Shopping,9088.08,4,2024,Credit Card,Accessories,2
2024-04-18,Shopping,5560.38,4,2024,Debit Card,Footwear,4
2024-04-18,Food,452.18,4,2024,Net Banking,Restaurant dinner,3
2024-04-19,Travel,611.89,4,2024,Wallet,Cab ride,4
2024-04-20,Education,671.85,4,2024,Debit Card,Online course,3
2024-04-21,Bills,1732.66,4,2024,UPI,Rent,3
2024-04-21,Food,452.72,4,2024,UPI,Fast food,5
2024-04-21,Food,1536.24,4,2024,Net Banking,Coffee shop,4
2024-04-22,Bills,693.35,4,2024,UPI,Electricity bill,2
2024-04-24,Travel,499.73,4,2024,Wallet,Cab ride,3
2024-04-25,Travel,2201.42,4,2024,UPI,Parking fee,2
2024-04-25,Food,1829.71,4,2024,UPI,Restaurant dinner,2
2024-04-25,Entertainment,1377.99,4,2024,UPI,Movie ticket,4
2024-04-26,Education,4867.21,4,2024,Credit Card,Stationery,5
2024-04-26,Travel,359.34,4,2024,Debit Card,Parking fee,5
2024-04-26,Travel,2541.19,4,2024,UPI,Auto rickshaw,5
2024-04-27,Medical,1168.03,4,2024,Debit Card,Lab test,4
2024-04-27,Entertainment,574.92,4,2024,UPI,Concert,2
2024-04-27,Food,2009.17,4,2024,Net Banking,Grocery shopping,2
2024-04-28,Entertainment,2217.44,4,2024,UPI,Concert,1
2024-04-29,Food,2368.34,4,2024,Wallet,Coffee shop,4
